Time,Xa,Ya,Za
0.013,-0.09,1.07,-0.04
0.057,-0.11,1.05,-0.04
0.108,-0.11,1.05,-0.04
0.16,-0.11,1.05,-0.04
0.212,-0.11,1.06,-0.04
0.264,-0.11,1.05,-0.04
0.316,-0.1,1.06,-0.04
0.368,-0.1,1.05,-0.04
0.42,-0.1,1.07,-0.04
0.473,-0.11,1.05,-0.03
0.524,-0.09,1.07,-0.04
0.576,-0.1,1.05,-0.04
0.628,-0.1,1.05,-0.03
0.68,-0.1,1.06,-0.04
0.732,-0.1,1.05,-0.04
0.784,-0.11,1.06,-0.04
0.836,-0.11,1.05,-0.04
0.888,-0.11,1.05,-0.03
0.941,-0.11,1.07,-0.03
0.992,-0.11,1.06,-0.04
1.044,-0.12,1.07,-0.04
1.097,-0.1,1.06,-0.04
1.15,-0.12,1.05,-0.04
1.204,-0.11,1.07,-0.04
1.256,-0.11,1.05,-0.04
1.309,-0.11,1.06,-0.04
1.362,-0.09,1.06,-0.04
1.416,-0.09,1.05,-0.04
1.468,-0.11,1.06,-0.04
1.521,-0.09,1.05,-0.04
1.574,-0.11,1.05,-0.04
1.628,-0.12,1.05,-0.03
1.681,-0.1,1.05,-0.03
1.733,-0.1,1.05,-0.04
1.786,-0.09,1.05,-0.04
1.84,-0.1,1.06,-0.04
1.893,-0.09,1.07,-0.04
1.946,-0.09,1.06,-0.04
1.998,-0.09,1.06,-0.05
2.052,-0.12,1.04,-0.04
2.105,-0.09,1.05,-0.03
2.158,-0.11,1.07,-0.04
2.211,-0.09,1.05,-0.04
2.264,-0.11,1.06,-0.04
2.317,-0.1,1.05,-0.03
2.37,-0.11,1.05,-0.04
2.423,-0.11,1.05,-0.04
2.477,-0.11,1.06,-0.04
2.529,-0.09,1.06,-0.04
2.582,-0.1,1.05,-0.04
2.635,-0.09,1.04,-0.05
2.689,-0.09,1.05,-0.04
2.742,-0.11,1.06,-0.03
2.794,-0.11,1.05,-0.04
2.847,-0.11,1.05,-0.03
2.9,-0.1,1.05,-0.04
2.954,-0.11,1.06,-0.04
3.007,-0.08,1.04,-0.03
3.059,-0.1,1.05,-0.03
3.112,-0.1,1.05,-0.03
3.166,-0.14,1.06,-0.04
3.219,-0.12,1.05,-0.04
3.272,-0.06,1.06,-0.05
3.324,-0.1,1.05,-0.04
3.378,-0.09,1.07,-0.02
3.431,-0.1,1.05,-0.04
3.484,-0.09,1.06,-0.04
3.537,-0.1,1.05,-0.03
3.59,-0.12,1.05,-0.04
