Time,Xa,Ya,Za
9119.0,0.18,-0.36,0.61
9171.0,0.31,-0.57,0.95
9224.0,-0.77,-0.11,1.04
9277.0,0.23,0.36,0.43
9328.0,0.21,-0.48,0.77
9379.0,-0.93,0.11,0.92
9432.0,0.26,0.26,0.63
9483.0,-0.18,-0.08,0.48
9536.0,-0.17,-0.48,1.23
9588.0,0.1,0.32,0.54
9639.0,0.32,0.25,0.62
9691.0,-0.45,-0.86,0.62
9744.0,-0.85,0.58,0.69
9796.0,0.37,-0.13,0.66
9847.0,0.16,-0.68,0.84
9900.0,-1.31,-0.03,0.93
9953.0,-0.7,0.61,0.64
10005.0,0.04,-0.32,0.54
10058.0,-1.04,0.22,0.94
10110.0,-1.36,0.63,0.82
10164.0,-0.47,-0.11,0.42
10218.0,-0.88,-0.3,1.13
10272.0,-0.25,-0.63,0.93
10327.0,-1.33,0.34,0.84
10379.0,-0.15,0.36,0.6
10432.0,0.48,-0.73,1.11
10485.0,-0.9,-0.31,0.89
10540.0,-0.66,0.58,-0.24
10594.0,0.02,-0.74,1.12
10646.0,-0.66,-0.59,1.25
10700.0,0.19,-0.59,0.8
10754.0,-1.18,0.29,0.79
10807.0,-1.19,0.67,0.68
10860.0,-0.35,-0.13,0.54
10913.0,-0.77,-0.43,1.2
10968.0,-1.04,0.41,0.63
11021.0,1.18,0.17,0.77
11073.0,-0.58,-0.75,1.0
11127.0,-1.53,0.02,0.87
11180.0,0.57,-0.21,1.0
11233.0,-0.8,0.57,0.73
11286.0,0.14,0.15,0.64
11338.0,0.14,-0.72,0.9
11392.0,-0.42,-0.04,1.02
11445.0,0.31,0.18,0.56
11497.0,0.66,-0.83,1.12
11550.0,-1.61,-0.6,0.88
11604.0,-0.91,0.52,0.7
11658.0,0.06,-0.74,1.03
11710.0,-0.58,-0.48,1.14
11764.0,-1.14,0.59,0.66
11817.0,-1.25,0.34,0.88
11871.0,0.08,0.05,0.82
11923.0,0.21,-0.81,0.83
11975.0,-1.51,0.05,0.9
12028.0,-0.98,0.55,0.64
12082.0,0.3,-0.3,0.53
12135.0,-1.3,0.12,0.96
12188.0,-1.55,0.37,0.7
12240.0,-0.28,0.21,0.75
12294.0,-0.44,-0.66,1.13
12348.0,-1.47,0.34,0.62
12401.0,-0.35,0.23,0.91
12454.0,0.05,-0.73,1.13
12507.0,0.55,-0.08,0.78
12560.0,0.03,-0.35,0.49
12613.0,-1.24,-0.11,1.13
12667.0,0.33,-0.16,0.81
12721.0,0.43,-0.37,-0.0
12774.0,-0.45,-0.66,0.63
12828.0,-0.15,0.3,0.69
12881.0,0.92,-0.79,1.14
12935.0,-0.87,-0.44,1.16
12989.0,-0.04,-0.78,0.97
13042.0,-1.27,-0.03,0.85
13096.0,-1.23,0.45,1.03
13150.0,0.14,-0.0,0.61
13203.0,-1.39,0.12,0.96
13256.0,-0.07,0.26,0.63
13308.0,0.2,0.11,0.71
13361.0,-0.91,-0.3,1.17
13415.0,-1.22,0.36,0.67
13468.0,-0.73,-0.34,0.92
13522.0,-0.22,0.39,0.71
13575.0,0.89,-0.66,0.97
13628.0,-0.24,-0.79,0.98
13682.0,-1.29,0.5,0.76
13735.0,0.7,-0.86,0.99
13789.0,-0.26,-0.71,0.94
13842.0,-1.09,0.36,0.86
13895.0,1.03,-0.69,1.03
13948.0,-0.44,0.11,0.71
14002.0,-0.08,0.27,0.76
14055.0,-0.5,-0.59,1.14
14108.0,-1.57,0.54,0.8
14161.0,0.48,-0.2,0.74
14215.0,-0.23,-0.54,1.4
14269.0,-2.0,0.28,0.87
14322.0,-0.29,0.32,0.69
14374.0,1.07,-0.91,1.37
14428.0,-0.43,-0.46,1.34
14482.0,0.42,-0.47,0.9
14535.0,-0.89,-0.34,1.09
14589.0,0.32,-0.09,0.73
14642.0,0.41,-0.52,0.9
14695.0,-0.41,-0.52,1.3
14749.0,-0.9,0.45,0.59
14802.0,0.46,-0.08,0.86
14856.0,0.93,-0.79,1.29
14908.0,-1.61,0.27,0.94
14961.0,-0.79,-0.52,0.84
15015.0,-1.11,0.52,0.57
15069.0,0.81,-0.64,1.16
15122.0,0.69,-0.64,1.18
15174.0,-1.4,0.12,0.91
15227.0,-0.52,0.18,0.72
15281.0,1.46,0.04,0.85
15333.0,-1.52,-0.66,1.0
15387.0,0.15,0.09,0.68
15438.0,0.03,0.0,0.96
15491.0,0.21,-0.56,1.23
15544.0,-0.73,0.58,0.57
15597.0,-0.96,0.41,0.48
15650.0,1.0,-0.72,1.15
15703.0,0.84,-0.54,1.0
15756.0,-0.67,-0.41,1.32
15810.0,-2.0,0.22,0.66
15863.0,0.57,-0.28,1.0
15917.0,0.75,-0.98,1.32
15969.0,-0.81,-0.24,1.2
16023.0,-0.84,0.59,0.63
16076.0,0.79,-0.58,1.14
16130.0,-0.98,-0.52,1.06
16184.0,-0.5,-0.74,1.05
16237.0,-1.18,-0.21,1.11
16291.0,-0.63,0.24,0.68
16345.0,0.51,-0.77,1.17
16398.0,-0.02,-0.75,1.26
16452.0,-1.97,0.48,0.79
16504.0,0.35,-0.04,0.77
16558.0,-0.31,-0.52,1.35
16612.0,1.09,-0.82,1.14
16665.0,-0.34,-0.75,0.95
16719.0,-1.37,0.43,0.7
16772.0,-0.43,0.29,0.76
16825.0,0.24,-0.55,0.69
16878.0,-1.17,0.48,0.72
16931.0,-0.87,0.66,0.5
16985.0,0.98,-0.43,1.07
17037.0,-1.18,-0.21,0.97
17091.0,0.0,-0.14,0.79
17144.0,-1.72,0.55,0.77
17198.0,0.36,0.1,0.66
17250.0,0.14,-0.74,1.2
17302.0,-1.59,-0.21,1.08
17356.0,-0.69,0.53,0.57
17410.0,0.92,-0.75,1.16
17463.0,-1.66,0.04,1.04
17516.0,-0.28,0.54,0.57
17568.0,0.43,-0.42,0.71
