Time,Xa,Ya,Za
11.0,-0.38,-0.43,0.99
13.0,-0.38,-0.43,0.99
57.0,0.12,-0.29,0.92
107.0,0.02,0.18,0.68
157.0,-0.02,-0.04,0.7
209.0,-0.03,0.18,0.67
260.0,-0.25,0.88,0.32
311.0,-0.48,-0.5,1.02
363.0,0.39,0.17,1.03
413.0,-0.35,-0.08,0.79
464.0,0.11,0.46,0.5
515.0,-0.46,-0.49,1.05
567.0,-1.03,0.2,0.57
618.0,-0.73,-0.62,1.1
669.0,-0.05,0.23,0.61
720.0,0.08,0.05,0.58
771.0,-0.15,-0.28,0.95
823.0,-0.16,-0.46,1.09
875.0,-0.17,-0.2,0.89
926.0,0.46,-0.15,1.28
977.0,-0.36,-0.09,0.75
1030.0,-0.2,0.86,0.36
1082.0,-0.02,0.02,0.72
1133.0,0.87,0.62,0.26
1184.0,-0.53,-0.43,1.09
1238.0,0.56,0.59,0.66
1289.0,-0.43,-0.4,1.0
1342.0,0.13,0.34,0.56
1392.0,-0.07,-0.39,1.11
1445.0,-0.03,-0.17,0.8
1499.0,-0.5,-0.34,0.89
1552.0,-0.11,-0.06,0.73
1605.0,-0.13,0.39,0.55
1656.0,-0.82,-0.62,1.3
1710.0,-0.0,0.42,0.57
1762.0,-0.69,-0.63,1.28
1815.0,-0.96,-0.07,0.71
1867.0,-0.39,0.17,0.65
1920.0,-0.6,0.02,0.7
1972.0,-0.18,0.19,0.61
2024.0,-0.65,0.05,0.49
2076.0,-0.07,0.62,0.41
2127.0,-0.13,-0.64,1.21
2181.0,-0.09,0.54,0.48
2233.0,0.98,-0.02,1.14
2285.0,0.17,0.2,0.67
2336.0,-0.39,0.58,0.5
2387.0,-0.27,0.21,0.66
2440.0,0.1,0.57,0.45
2491.0,-0.39,-0.48,1.23
2544.0,-0.52,0.5,0.15
2595.0,0.06,-0.48,1.24
2648.0,0.07,0.5,0.53
2699.0,-0.34,-0.62,1.0
2752.0,-0.1,0.56,0.52
2804.0,0.04,-0.27,0.77
2855.0,0.02,0.63,0.51
2907.0,-0.63,0.27,0.32
2959.0,-0.26,0.24,0.57
3011.0,-0.01,0.63,0.24
3062.0,0.1,0.41,0.54
3113.0,0.73,0.51,0.59
3165.0,-0.27,-0.19,0.94
3218.0,0.73,0.74,0.42
3269.0,-0.14,-0.15,0.82
3321.0,0.16,0.55,0.48
3373.0,0.03,-0.38,1.08
3425.0,0.13,0.18,0.66
3476.0,-0.51,-0.51,0.99
3528.0,0.0,0.25,0.64
3579.0,-0.12,0.45,0.38
3632.0,-0.4,-0.37,0.98
3685.0,-0.68,0.33,0.37
3737.0,-0.48,-0.44,1.04
3789.0,0.43,0.25,0.94
3841.0,-0.48,-0.78,1.27
3894.0,-0.15,-0.34,1.42
