Time,Xa,Ya,Za
11.0,-0.22,0.42,0.58
13.0,-0.22,0.42,0.58
55.0,-0.53,-0.43,1.02
106.0,-0.32,-0.55,1.21
158.0,-0.37,-0.35,0.68
210.0,0.21,-0.56,1.04
261.0,-0.5,-0.47,1.0
313.0,0.4,-0.07,0.83
364.0,0.09,-0.27,0.83
415.0,0.47,-0.66,0.75
465.0,-0.07,0.06,0.78
517.0,0.67,-0.31,0.98
568.0,-1.27,0.27,0.66
619.0,0.2,0.47,0.71
668.0,-0.19,-0.15,0.96
720.0,-0.48,0.37,0.76
772.0,-0.7,0.37,0.65
823.0,-0.35,0.26,0.82
874.0,-0.71,-0.13,0.95
925.0,-0.52,-0.48,1.44
977.0,-0.73,0.04,0.76
1029.0,-0.55,-0.23,0.94
1082.0,-0.51,-0.63,1.13
1134.0,-0.38,-0.4,0.96
1187.0,-0.02,-0.52,1.22
1241.0,-0.06,-0.6,1.16
1294.0,-0.19,-0.21,0.9
1347.0,0.01,-0.55,1.09
1398.0,-0.97,0.3,0.39
1451.0,0.17,0.2,0.56
1502.0,0.39,-0.26,1.09
1554.0,-0.39,0.56,0.46
1606.0,-0.73,0.49,0.44
1657.0,-0.89,0.57,0.62
1710.0,-0.21,0.37,0.47
1762.0,-0.62,0.29,1.0
1814.0,-0.65,-0.22,0.87
1866.0,-0.91,0.52,0.68
1918.0,-0.37,-0.45,1.18
1972.0,-0.42,-0.12,1.12
2025.0,-0.57,-0.1,1.14
2078.0,-0.62,-0.23,0.99
2130.0,-0.44,-0.58,1.07
2184.0,-0.24,-0.57,1.04
2237.0,-0.6,-0.41,1.11
2290.0,0.83,-0.45,0.84
2342.0,-0.22,-0.49,1.0
2395.0,-0.62,-0.65,0.95
2448.0,0.08,-0.43,0.94
2500.0,-0.42,0.27,0.37
2552.0,0.3,0.37,0.71
2604.0,0.02,-0.18,0.92
2655.0,0.81,0.46,0.6
2706.0,-0.32,0.51,0.52
2758.0,0.21,0.02,0.46
2809.0,-0.3,0.63,0.5
2861.0,0.44,0.09,1.02
2912.0,-0.42,0.5,0.84
2964.0,-0.57,0.64,0.49
3016.0,-0.79,0.14,0.7
3068.0,-0.36,0.11,0.86
3120.0,-0.16,0.32,0.75
3172.0,-0.45,-0.42,1.25
3225.0,-0.57,-0.2,0.73
3278.0,-1.25,-0.33,1.0
3331.0,-0.39,-0.3,0.96
3384.0,-0.25,-0.44,1.16
3437.0,-0.19,-0.57,1.12
3490.0,-0.52,-0.41,1.02
3544.0,-0.08,-0.43,0.95
3596.0,0.01,-0.47,0.86
3648.0,0.59,-0.58,0.99
3700.0,-0.13,-0.62,0.97
3753.0,0.06,-0.11,0.96
3806.0,-0.04,0.15,0.53
3857.0,0.12,-0.27,0.74
3909.0,-0.82,0.41,0.28
3961.0,0.0,0.19,0.68
4013.0,-0.36,0.33,0.62
4064.0,0.0,0.49,0.5
4115.0,-0.92,0.39,0.62
4167.0,0.46,-0.4,0.89
4219.0,-0.11,0.37,0.75
4272.0,0.71,-0.73,1.32
4323.0,-0.64,-0.29,1.0
4376.0,-0.71,-0.37,1.05
4429.0,-0.16,-0.58,1.18
4483.0,0.08,-0.54,1.18
4535.0,1.22,-0.17,1.01
4586.0,-0.18,-0.56,1.11
4639.0,-0.46,0.04,0.38
4691.0,0.09,0.07,0.72
4743.0,0.48,-0.41,0.94
4794.0,-0.24,0.52,0.54
4846.0,-0.25,0.26,0.55
4898.0,-0.79,0.43,0.5
4951.0,0.17,0.3,0.54
5002.0,0.62,-0.52,1.28
5053.0,-0.82,-0.05,0.93
5106.0,-0.68,0.4,0.55
5158.0,-0.37,-0.23,1.04
5212.0,-0.71,0.0,0.86
5264.0,-0.54,-0.04,1.06
5316.0,-0.51,-0.26,0.88
5369.0,-0.3,-0.38,1.23
5423.0,-0.28,-0.56,1.08
5476.0,-0.36,-0.24,1.2
5528.0,-1.2,-0.34,0.86
5581.0,0.05,-0.47,1.27
5634.0,-0.04,-0.77,1.23
5687.0,-0.22,-0.5,1.13
5740.0,-0.36,-0.59,0.81
5792.0,-0.61,0.02,0.48
5844.0,-0.18,-0.46,1.12
5898.0,-0.11,0.32,0.72
5950.0,-0.07,0.12,0.7
6002.0,-0.74,0.13,0.35
6053.0,0.05,0.25,0.57
6105.0,0.22,0.46,0.6
6156.0,-0.54,0.63,0.76
6208.0,-0.45,0.62,0.54
6259.0,-0.93,0.12,0.93
6311.0,-0.79,0.33,0.71
6364.0,-0.1,0.15,0.96
6416.0,-0.79,0.05,0.86
6468.0,-0.59,-0.05,0.84
6520.0,-0.8,-0.28,0.97
6574.0,-0.45,-0.09,0.91
6627.0,-0.72,-0.41,0.74
6680.0,-0.16,-0.59,1.23
6733.0,-0.52,-0.34,0.88
6786.0,-0.03,-0.35,1.17
6839.0,-0.16,-0.57,1.08
6892.0,0.37,-0.66,1.1
6944.0,-0.22,-0.68,1.11
6998.0,0.78,-0.27,1.23
7049.0,-0.36,-0.01,0.5
7102.0,0.19,-0.48,0.85
7154.0,-0.17,0.45,0.54
7206.0,0.17,0.18,0.68
7257.0,0.46,0.23,0.66
7308.0,-0.16,0.43,0.51
7360.0,-0.84,0.49,0.54
7412.0,-1.41,0.01,0.8
7464.0,0.07,0.49,0.69
7515.0,-0.18,-0.31,1.22
7568.0,-0.73,-0.05,0.84
7621.0,-0.84,-0.05,0.67
7674.0,-0.46,-0.09,1.02
7728.0,-0.51,-0.16,1.06
7780.0,-0.11,-0.57,1.3
7833.0,-0.84,-0.05,0.9
7886.0,-0.17,-0.65,1.03
7940.0,-0.7,-0.25,0.96
7993.0,-0.88,0.31,0.68
8044.0,-0.48,-0.58,1.22
8097.0,-0.23,-0.14,1.18
8151.0,-0.3,-0.09,1.23
8204.0,-0.65,-0.38,1.09
8256.0,-0.46,-0.53,1.09
8309.0,-0.02,-0.45,0.92
8363.0,-0.44,-0.58,1.2
8416.0,0.47,-0.41,0.63
8468.0,-0.23,-0.45,0.95
8520.0,-0.42,-0.5,0.85
8573.0,0.07,-0.25,0.95
8626.0,-0.58,0.25,0.24
8678.0,0.28,0.3,0.61
8729.0,-0.02,0.12,0.78
8780.0,0.5,0.53,0.67
8832.0,-0.45,0.5,0.44
8884.0,-0.06,0.4,0.47
8936.0,-0.41,0.32,0.71
8987.0,-0.25,0.01,1.05
9039.0,-0.46,-0.48,1.19
9093.0,-1.02,0.1,0.69
9145.0,-0.79,-0.57,0.99
9198.0,-0.24,-0.65,1.21
9250.0,-0.41,-0.41,1.12
9304.0,-0.13,-0.47,1.19
9357.0,-0.37,-0.49,0.97
9410.0,-0.61,-0.37,0.64
9463.0,-0.05,-0.59,1.22
9516.0,0.57,-0.12,0.94
9568.0,-0.25,-0.06,0.7
9621.0,-0.06,-0.51,0.86
9674.0,-0.16,0.47,0.6
9726.0,-0.02,0.07,0.41
9778.0,0.54,0.18,0.93
9829.0,-0.45,0.18,0.43
9881.0,-0.07,0.47,0.52
9933.0,-0.2,0.37,0.61
9985.0,0.23,0.59,0.67
10036.0,-0.68,0.0,0.68
10089.0,0.05,0.2,0.93
10141.0,-0.64,0.2,0.79
10194.0,-0.59,-0.16,0.88
10248.0,-0.68,-0.18,1.08
10302.0,-0.78,0.2,0.82
10355.0,-0.2,0.22,0.75
10408.0,-0.44,0.05,0.98
10462.0,-0.12,-0.42,1.15
10515.0,-0.71,-0.07,0.78
10569.0,-0.3,-0.5,1.21
10624.0,-0.39,-0.44,1.13
10678.0,-0.14,-0.41,1.25
10732.0,-0.54,-0.03,0.89
10785.0,-0.71,-0.13,1.02
10840.0,-0.07,-0.6,1.35
10894.0,-0.84,0.02,0.82
10947.0,-0.4,-0.47,1.07
11001.0,-0.4,-0.58,1.14
11056.0,-0.93,0.32,0.71
11108.0,-0.36,-0.63,1.22
11162.0,-0.41,-0.25,1.2
11216.0,-0.16,-0.49,1.24
11271.0,-0.5,-0.48,1.09
11325.0,-0.39,-0.48,1.09
11378.0,-0.03,-0.44,0.87
11432.0,-0.81,-0.14,0.88
11487.0,-0.53,-0.46,1.01
11541.0,-0.1,-0.58,1.23
11595.0,-0.47,-0.66,1.24
11649.0,-0.07,-0.44,0.97
11703.0,-0.43,-0.42,1.24
11757.0,-0.46,-0.69,1.14
11811.0,-0.51,-0.62,1.09
11866.0,-0.35,-0.66,1.09
11920.0,-0.73,-0.19,0.7
11973.0,-0.3,-0.48,1.19
12027.0,-0.2,-0.29,0.84
12082.0,0.01,-0.54,1.24
12135.0,-0.51,-0.49,1.0
12189.0,-0.16,-0.44,1.09
12242.0,-0.1,-0.49,1.13
12297.0,0.23,-0.61,1.02
12350.0,-0.19,-0.65,1.16
12404.0,-0.32,-0.53,0.82
12459.0,0.1,-0.58,1.04
12511.0,-0.54,-0.49,1.07
12565.0,0.5,-0.29,0.86
12618.0,0.04,-0.26,0.85
12672.0,0.38,-0.74,0.77
12725.0,-0.08,0.11,0.77
12777.0,0.57,-0.21,0.82
12830.0,-0.54,0.66,0.61
12883.0,-0.11,0.21,0.58
12937.0,-0.22,0.1,0.56
12990.0,-0.2,0.4,0.5
13042.0,0.25,0.1,0.75
13094.0,-0.6,0.58,0.4
13148.0,0.32,0.39,0.7
13200.0,-0.34,0.37,0.48
13253.0,-0.13,0.46,0.5
13305.0,-0.75,0.44,0.67
13359.0,0.36,-0.27,0.77
13412.0,-0.02,0.48,0.61
13465.0,0.39,-0.36,1.14
13518.0,-0.75,0.12,0.75
13571.0,-0.71,0.2,0.64
13624.0,-0.52,-0.06,0.86
13678.0,-0.5,-0.21,1.05
13732.0,-0.39,0.52,0.73
13786.0,-0.23,0.36,0.6
13838.0,-0.56,0.11,0.86
13891.0,-0.43,-0.32,1.0
13945.0,-0.32,0.45,0.79
13999.0,-1.32,-0.52,1.18
14053.0,-0.28,-0.33,1.26
14106.0,-0.45,-0.25,1.1
14160.0,-0.74,-0.0,0.88
14215.0,-0.56,-0.22,0.9
14269.0,-0.7,-0.46,1.05
14323.0,-0.47,-0.21,0.93
14376.0,-1.03,-0.45,0.72
14431.0,-0.72,-0.36,1.1
14485.0,-0.33,0.28,0.91
14538.0,0.47,-0.77,1.0
14592.0,-0.46,-0.27,1.11
14645.0,-0.55,-0.16,0.95
14699.0,-0.3,-0.38,1.18
14753.0,-0.59,-0.55,1.0
14808.0,-1.05,-0.16,1.0
14862.0,-0.45,-0.04,0.81
14916.0,-0.41,-0.43,1.12
14969.0,-0.38,-0.62,1.07
15024.0,-0.44,-0.11,0.96
15078.0,-0.03,-0.49,1.14
15132.0,-0.68,-0.11,0.96
15186.0,-0.78,-0.13,0.91
15240.0,-0.5,-0.33,1.14
15294.0,-0.44,-0.49,1.12
15348.0,1.02,-0.57,1.25
15401.0,-0.43,-0.34,0.95
15456.0,-0.31,-0.29,1.16
15509.0,-0.61,-0.55,1.12
15563.0,-0.59,-0.02,0.91
15618.0,-0.12,-0.57,1.17
15672.0,-0.32,-0.64,1.16
15726.0,0.22,-0.41,1.27
15778.0,-0.41,-0.65,1.09
15833.0,-0.42,-0.46,1.17
15887.0,-0.12,-0.32,1.1
15941.0,-0.49,-0.47,1.12
15995.0,-0.55,-0.42,0.67
16050.0,0.1,-0.51,1.12
16102.0,-0.04,-0.65,1.12
16156.0,-0.75,-0.63,0.83
16210.0,-0.29,-0.57,1.21
16265.0,-0.38,-0.7,1.08
16319.0,-0.1,-0.54,1.15
16372.0,-0.3,-0.43,0.65
16427.0,0.42,-0.08,0.48
16480.0,-0.35,-0.61,1.2
16534.0,0.16,-0.54,0.85
16587.0,-0.14,-0.42,0.88
16641.0,-0.3,-0.31,1.11
16695.0,0.14,-0.09,-0.0
16749.0,-0.08,-0.2,0.71
16803.0,0.52,-0.25,0.85
16857.0,-0.04,-0.53,1.2
16910.0,0.12,-0.4,0.71
16963.0,-0.23,0.02,1.03
17016.0,-0.33,-0.37,1.01
17071.0,0.25,0.07,0.55
17123.0,-0.03,0.1,0.66
17175.0,0.47,-0.37,0.81
17228.0,-0.09,0.3,0.57
17282.0,0.54,-0.11,0.89
17335.0,-0.71,0.48,0.59
17388.0,-0.04,0.12,0.57
17440.0,-1.02,0.54,0.56
17494.0,-0.04,0.34,0.59
17547.0,0.1,-0.18,0.95
17600.0,0.22,0.31,0.18
17652.0,0.02,0.21,0.72
17703.0,-0.24,-0.01,0.55
17758.0,-0.05,0.36,0.58
17811.0,-0.84,0.48,0.43
17864.0,0.21,0.26,0.73
17916.0,-0.02,0.45,0.6
17969.0,-0.04,0.12,0.95
18022.0,-0.64,0.36,0.71
18075.0,-0.64,0.36,0.58
18128.0,-0.58,-0.06,0.88
18183.0,-0.57,-0.2,1.09
18236.0,-0.47,0.27,0.84
18289.0,-0.25,0.32,0.71
18342.0,-0.34,-0.16,0.95
18397.0,-0.55,-0.5,1.14
18451.0,-0.63,0.09,0.88
18503.0,-1.45,-0.56,1.09
18557.0,-0.41,-0.48,1.23
18612.0,-0.46,0.12,1.0
18665.0,-0.46,-0.27,1.04
18719.0,-0.51,-0.29,1.04
18772.0,-0.88,-0.46,0.98
18827.0,-0.51,-0.2,1.02
18881.0,-0.64,-0.45,0.75
18935.0,-0.11,-0.57,1.22
18990.0,-0.32,0.24,0.91
19043.0,0.57,-0.86,1.07
19095.0,-0.62,-0.29,1.11
19149.0,-0.6,-0.37,0.98
19204.0,-0.51,-0.52,1.22
19258.0,-0.42,-0.39,0.81
19312.0,-1.05,-0.36,1.04
