Time_ms,Time_sec,Xa,Ya,Za
36444,36.44,-0.93,0.71,-0.83
36498,36.5,1.34,0.39,1.21
36550,36.55,0.52,-1.43,2
36602,36.6,-1.05,-0.93,0.49
36657,36.66,-0.9,0.64,-0.65
36711,36.71,1.3,0.39,1.07
36763,36.76,0.43,-1.36,2
36816,36.82,-0.99,-0.9,0.58
36870,36.87,-0.86,0.59,-0.6
36924,36.92,-0.02,0.76,-0.43
36978,36.98,1.28,-0.4,2
37031,37.03,-0.29,-1.49,2
37086,37.09,-1.28,-0.1,-0.35
37140,37.14,-0.06,0.86,-0.63
37194,37.19,1.3,-0.43,2
37248,37.25,0.87,-1.09,2
37301,37.3,-0.94,-1.23,0.96
37355,37.36,-1.08,0.44,-0.6
37408,37.41,0.97,0.62,0.44
37460,37.46,0.82,-1.17,2
37514,37.51,-0.91,-1.24,0.91
37568,37.57,-1.02,0.45,-0.48
37622,37.62,0.98,0.62,0.46
37673,37.67,0.84,-1.16,2
37727,37.73,-0.89,-1.13,0.74
37781,37.78,-0.99,0.44,-0.56
37835,37.84,-0.37,0.77,-0.66
37890,37.89,1.28,-0.16,1.69
37942,37.94,-0.23,-1.52,2
37996,38,-1.23,-0.29,0.01
38050,38.05,-0.19,0.8,-0.72
38105,38.11,1.41,-0.37,2
38158,38.16,-0.43,-1.79,2
38212,38.21,-0.86,-1.39,1.61
38265,38.27,-1.11,0.75,-1.41
38320,38.32,1.26,0.63,0.53
38372,38.37,0.78,-1.56,2
38425,38.43,-0.89,-1,0.88
38479,38.48,-1.03,0.79,-1.51
38533,38.53,1.35,0.32,1.09
38585,38.59,0.29,-1.72,2
38638,38.64,-0.98,-0.75,0.68
38692,38.69,-0.84,1.04,-1.71
38747,38.75,0.36,1,-0.76
38799,38.8,1.21,-1.12,2
38852,38.85,-0.9,-1.82,2
38906,38.91,-1.12,0.73,-1.36
38961,38.96,0.84,0.8,-0.19
39014,39.01,0.97,-1.45,2
39066,39.07,-0.98,-1.52,1.81
39120,39.12,-1.07,0.74,-1.62
39175,39.18,1.23,0.55,0.53
39227,39.23,0.38,-1.72,2
39280,39.28,-1.04,-1.11,1.3
39333,39.33,-1.38,0.27,-0.81
39388,39.39,0.33,1.06,-0.96
39441,39.44,1.08,-0.96,2
39494,39.49,-0.91,-1.67,2
39548,39.55,-1.15,0.76,-1.24
39602,39.6,0.75,0.78,-0.25
39655,39.66,0.96,-1.11,2
39708,39.71,-0.71,-1.8,2
39762,39.76,-1.21,0.27,-0.93
39817,39.82,-1.07,0.66,-1.31
39870,39.87,1.05,0.58,0.43
39922,39.92,0.69,-1.36,2
39975,39.98,-0.9,-1.69,2
40030,40.03,-1.13,0.63,-1.18
40084,40.08,0.68,1.15,-1.11
40136,40.14,1.29,-0.9,2
40189,40.19,-0.64,-1.94,2
40244,40.24,-1.24,-0.01,-0.3
40299,40.3,-0.96,0.6,-1.12
40353,40.35,0.86,0.86,-0.25
40407,40.41,1.01,-1.33,2
40459,40.46,-0.98,-1.77,2
40513,40.51,-1.13,0.34,-0.45
40567,40.57,0.71,1.24,-1.39
40621,40.62,1.02,-0.8,2
40674,40.67,-0.71,-1.96,2
40727,40.73,-1.07,-1.37,1.68
40781,40.78,-0.89,0.89,-1.21
40836,40.84,0.98,0.8,-0.49
40889,40.89,0.62,-1.48,2
40942,40.94,-1.1,-1.7,2
40995,41,-1.05,0.98,-1.46
41050,41.05,1.14,0.83,-0.06
41103,41.1,0.84,-1.36,2
41156,41.16,-1.07,-1.36,1.61
41210,41.21,-1.19,-0.45,0.11
41264,41.26,-0.4,1.05,-1.32
41318,41.32,1.38,-0.21,1.85
41371,41.37,-0.45,-1.79,2
41425,41.43,-1.26,-0.27,-0.12
41481,41.48,-0.29,0.96,-0.96
41534,41.53,0.9,0.74,-0.05
41587,41.59,0.79,-1.21,2
41640,41.64,-0.93,-1.45,1.4
41695,41.7,-1.13,0.72,-1.32
41749,41.75,1.26,0.65,0.41
41800,41.8,0.64,-1.52,2
41853,41.85,-1.01,-1.17,1.09
41908,41.91,-0.9,0.83,-1.2
41962,41.96,1.43,0.33,1.01
42014,42.01,0.28,-1.63,2
42066,42.07,-1.09,-0.62,0.42
42121,42.12,-1.17,0.25,-0.61
42175,42.18,0.37,0.89,-0.5
42228,42.23,1.08,-0.96,2
42281,42.28,-0.95,-1.75,2
42335,42.34,-1.05,0.59,-1.14
42389,42.39,1.09,0.71,0.06
42441,42.44,0.76,-1.46,2
42494,42.49,-0.9,-1.15,1.28
42549,42.55,-0.93,0.78,-1.33
42603,42.6,0.05,0.99,-0.98
42655,42.66,1.42,-0.64,2
42708,42.71,-0.84,-1.69,2
42763,42.76,-1.28,0.45,-0.98
42817,42.82,0.65,0.96,-0.61
42870,42.87,1.09,-1.18,2
42923,42.92,-1,-1.7,1.9
42977,42.98,-0.98,0.83,-1.39
43031,43.03,1.18,0.69,0.32
43083,43.08,0.56,-1.68,2
43137,43.14,-1.14,-0.94,0.88
43190,43.19,-1.21,0.04,-0.71
43244,43.24,0.62,0.98,-0.5
43297,43.3,0.84,-1.16,2
43351,43.35,-1.03,-1.2,1.33
43405,43.41,-1,0.7,-0.88
43458,43.46,1.46,0.42,1.07
43510,43.51,0.23,-1.61,2
43564,43.56,-1.17,-0.52,0.29
43618,43.62,-0.28,0.94,-0.87
43672,43.67,1.19,0.65,0.35
43723,43.72,0.7,-1.37,2
43777,43.78,-1.07,-0.96,0.66
43831,43.83,-0.76,0.82,-1.03
43885,43.89,1.46,0.01,1.61
43937,43.94,-0.45,-1.8,2
43991,43.99,-1.3,-0.15,-0.11
44046,44.05,0.31,0.87,-0.56
44099,44.1,1.12,-0.89,2
44152,44.15,-1.09,-1.44,1.45
44207,44.21,-1.21,-0.4,0.13
44260,44.26,-0.08,0.93,-0.74
44314,44.31,1.3,-0.73,2
44367,44.37,-0.95,-1.5,1.65
44422,44.42,-1,0.54,-0.67
44476,44.48,1.43,0.53,0.76
44527,44.53,0.37,-1.61,2
44580,44.58,-1.19,-0.59,0.18
44635,44.64,-0.36,0.92,-0.98
44689,44.69,1.39,0.61,0.61
44741,44.74,0.57,-1.44,2
44793,44.79,-1.14,-0.57,0.35
44848,44.85,-0.44,0.88,-0.89
44902,44.9,1.42,-0.42,2
44955,44.96,-0.68,-1.79,2
45009,45.01,-1.17,0.53,-0.75
45063,45.06,1.16,0.59,0.36
45115,45.12,0.48,-1.59,2
45168,45.17,-1.16,-0.71,0.28
45222,45.22,-1.21,0.5,-0.64
45277,45.28,1.21,0.59,0.46
45328,45.33,0.38,-1.59,2
45381,45.38,-1.16,-0.63,0.27
45435,45.44,-0.29,0.89,-0.77
45490,45.49,1.27,-0.61,2
45543,45.54,-0.83,-1.5,1.77
45596,45.6,-1.18,0.64,-0.86
45650,45.65,1.27,0.35,0.93
45703,45.7,0.12,-1.7,2
45756,45.76,-1.29,-0.21,-0.16
45811,45.81,-1.1,0.72,-0.96
45865,45.87,1.35,0.19,1.27
45917,45.92,-0.27,-1.77,2
45971,45.97,-1.36,0.1,-0.46
46025,46.03,0.68,0.87,-0.37
46078,46.08,0.85,-1.25,2
46132,46.13,-1,-0.86,0.71
46185,46.19,-0.69,0.88,-0.94
46239,46.24,1.04,0.72,0.05
46291,46.29,0.48,-1.62,2
46345,46.35,-1.39,-0.53,0.4
46399,46.4,-0.32,1.03,-1.2
46452,46.45,1.36,-0.63,2
46505,46.51,-0.88,-1.44,1.75
46560,46.56,-1.11,0.59,-0.64
46614,46.61,1.45,0.43,1.02
46666,46.67,-0.12,-1.71,2
46720,46.72,-1.3,-0.03,-0.08
46775,46.78,-0.77,0.76,-0.73
46829,46.83,1.54,-0.08,1.74
46882,46.88,-0.47,-1.64,2
46937,46.94,-1.3,0.31,-0.4
46990,46.99,1.21,0.73,0.28
47042,47.04,0.56,-1.5,2
47095,47.1,-1.2,-0.64,0.32
47150,47.15,-0.07,1,-0.92
47204,47.2,1.39,0.39,0.93
47255,47.26,-0.11,-1.76,2
47309,47.31,-1.31,-0.16,-0.04
47365,47.37,0.56,0.86,-0.41
47418,47.42,0.96,-1.23,2
47471,47.47,-1.07,-0.96,0.64
47524,47.52,-0.54,0.88,-0.95
47579,47.58,1.32,-0.37,1.88
47632,47.63,0.48,-1.71,2
47685,47.69,-1.22,-0.45,0.24
47739,47.74,0.12,0.95,-0.75
47792,47.79,1.19,-0.93,2
47845,47.85,-0.87,-1.22,1.09
47899,47.9,-0.84,0.96,-1.21
47953,47.95,1.44,-0.16,1.96
48007,48.01,-0.43,-1.78,2
48061,48.06,-1.21,0.54,-0.8
48114,48.11,-0.23,1.04,-0.99
48168,48.17,1.18,-0.79,2
48222,48.22,-0.93,-1.25,1.36
48276,48.28,-0.99,0.72,-0.8
48330,48.33,1.47,0.21,1.38
48381,48.38,-0.41,-1.82,2
48436,48.44,-1.3,0.34,-0.78
48490,48.49,1,0.7,0.07
48542,48.54,0.53,-1.73,2
48595,48.6,-1.19,-0.51,-0.02
48650,48.65,-1.11,0.93,-1.34
48704,48.7,1.5,0.28,1.32
48756,48.76,-0.15,-1.84,2
48811,48.81,-1.24,0.2,-0.61
48865,48.87,1.08,0.85,-0.34
48917,48.92,0.51,-1.64,2
48970,48.97,-1.15,-0.65,0.41
49025,49.03,-0.05,1.19,-1.15
49079,49.08,1.38,0.28,0.92
49131,49.13,-0.29,-1.86,2
49184,49.18,-1.27,-0.02,-0.55
49240,49.24,0.78,1,-0.51
49293,49.29,0.67,-1.54,2
49346,49.35,-1.14,-0.69,0.43
49400,49.4,-0.2,1.19,-1.01
49454,49.45,1.4,-0.79,2
49507,49.51,-0.89,-1.52,1.71
49561,49.56,-1.24,-0.13,-0.42
49616,49.62,0.69,0.96,-0.36
49670,49.67,0.74,-1.5,2
49722,49.72,-1.36,-0.91,0.34
49776,49.78,-0.25,1.2,-1
49830,49.83,1.32,-0.85,2
49884,49.88,-0.86,-1.36,1.58
49938,49.94,-1.42,0.04,-0.47
49992,49.99,0.84,0.82,-0.19
50044,50.04,0.71,-1.39,2
50098,50.1,-1.31,-0.66,0.37
50152,50.15,-0.14,0.91,-0.67
50206,50.21,1.21,-0.8,2
50259,50.26,-0.9,-1.25,1.12
50313,50.31,-0.79,0.77,-0.67
50367,50.37,0.89,0.73,0.08
50419,50.42,0.52,-1.52,2
50472,50.47,-1.27,-0.57,0.2
50527,50.53,0.07,0.89,-0.53
50579,50.58,1.08,-1.01,2
50632,50.63,-1.08,-1.02,0.86
50686,50.69,-0.74,0.98,-1.06
50741,50.74,1.49,-0.54,2
50794,50.79,-0.78,-1.81,2
50847,50.85,-1.01,0.81,-1.27
50902,50.9,0.35,1.03,-0.67
50955,50.96,0.95,-1.34,2
51008,51.01,-1.09,-0.8,0.83
51062,51.06,-0.55,1.07,-1.23
51116,51.12,1.33,-0.62,2
51169,51.17,-1.02,-1.36,1.4
51223,51.22,-0.97,0.65,-0.67
51277,51.28,1.53,0.05,1.5
51330,51.33,-0.64,-1.56,1.72
51383,51.38,-1.2,-0.69,0.45
51437,51.44,-0.07,0.93,-0.52
51491,51.49,1.16,-0.79,2
51545,51.55,-0.92,-1.3,1.2
51599,51.6,-0.78,0.79,-0.76
51652,51.65,1.4,-0.23,1.66
51705,51.71,-0.76,-1.54,1.79
51760,51.76,-1.16,0.43,-0.42
51814,51.81,0.05,0.92,-0.66
51867,51.87,1.07,-0.98,2
51919,51.92,-1.04,-1.09,0.87
51974,51.97,-0.67,0.84,-0.85
52028,52.03,1.29,-0.42,1.75
52081,52.08,-0.57,-1.57,1.94
52135,52.14,-1.14,0.64,-0.8
52190,52.19,1.41,0.22,1.18
52241,52.24,-0.25,-1.8,2
52295,52.3,-0.88,-1.01,0.73
52349,52.35,-0.4,1.02,-0.95
52404,52.4,1.34,-0.61,2
52457,52.46,-0.67,-1.62,2
52510,52.51,-1,0.95,-1.34
52564,52.56,1.36,0.08,1.39
52617,52.62,-0.64,-2,2
52671,52.67,-1.21,0.55,-0.75
52725,52.73,-0.11,1.17,-1.19
52779,52.78,1.15,-0.93,2
52832,52.83,-0.74,-1.57,1.92
52886,52.89,-0.72,1.18,-1.62
52940,52.94,1.47,-0.25,2
52994,52.99,-0.77,-1.7,2
53047,53.05,-0.75,0.6,-0.25
53101,53.1,1.16,0.48,0.3
53153,53.15,-0.23,-1.95,2
53208,53.21,-0.9,-1.08,0.79
53262,53.26,-0.37,1.05,-1.07
53315,53.32,1.25,-0.63,2
53368,53.37,-0.81,-1.43,1.37
53423,53.42,-0.76,0.83,-0.8
53477,53.48,1.34,0,1.26
53529,53.53,-0.39,-1.66,2
53582,53.58,-0.97,0.63,-0.57
53637,53.64,0.16,0.99,-0.79
53690,53.69,0.93,-1.23,2
53743,53.74,-1.08,-1.09,0.9
53797,53.8,-0.41,1.04,-1.08
53852,53.85,1.18,-0.61,1.98
53904,53.9,-0.84,-1.49,1.71
53958,53.96,-0.86,0.91,-0.97
54012,54.01,1.25,-0.01,1.29
54066,54.07,-0.54,-1.98,2
54120,54.12,-1.09,-0.7,0.4
54173,54.17,-0.04,1.14,-1.1
54227,54.23,1.09,-1.02,2
54281,54.28,-0.98,-1.49,1.76
54335,54.34,-0.61,1.36,-1.73
54389,54.39,1.37,-0.39,2
54441,54.44,-0.76,-1.7,2
54496,54.5,-1.08,-0.43,0.41
54550,54.55,0.16,1.2,-1.25
54603,54.6,0.81,-1.39,2
54657,54.66,-0.9,-0.87,0.83
54710,54.71,-0.34,1.18,-1.34
54764,54.76,1.26,-0.69,2
54817,54.82,-0.86,-1.5,1.73
54872,54.87,-0.64,1.07,-1.01
54926,54.93,0.66,0.9,-0.46
54978,54.98,0.43,-1.75,2
55031,55.03,-1.13,-0.5,0.42
55086,55.09,0.29,1.03,-0.92
55139,55.14,0.91,-1.22,2
55192,55.19,-1.01,-1.02,0.92
55245,55.25,-0.33,1.24,-1.29
55300,55.3,1.18,-0.79,2
55353,55.35,-0.8,-1.59,1.79
55407,55.41,-0.71,1.14,-1.36
55461,55.46,0.86,0.88,-0.5
55514,55.51,0.45,-1.8,2
55567,55.57,-1.14,-0.33,0.34
55621,55.62,0.41,1.1,-1.07
55674,55.67,0.78,-1.34,2
55728,55.73,-1.01,-1.07,0.86
55782,55.78,-0.21,1.1,-1.16
55835,55.84,1.18,-0.72,2
55888,55.89,-0.75,-1.54,1.82
55943,55.94,-0.98,0.23,0.02
55996,56,0.7,0.84,-0.35
56049,56.05,0.39,-1.82,2
56101,56.1,-1.07,-0.32,0.36
56156,56.16,0.41,1.11,-1
56209,56.21,0.78,-1.41,2
56262,56.26,-0.88,-0.91,0.8
56316,56.32,-0.16,1.07,-1.08
56370,56.37,1.05,-0.94,2
56423,56.42,-0.81,-1.34,1.54
56477,56.48,-1.14,0.25,-0.32
56531,56.53,0.75,0.72,-0.01
56585,56.59,0.2,-1.84,2
56637,56.64,-1.18,-0.1,-0.06
56692,56.69,0.53,0.92,-0.59
56745,56.75,0.61,-1.65,2
56799,56.8,-1.05,-0.66,0.51
56853,56.85,0.04,1.12,-1.08
56905,56.91,0.9,-1.16,2
