Time_ms,Time_sec,Xa,Ya,Za
8026,8.03,0.23,-0.34,1.11
8078,8.08,-0.18,-0.5,0.79
8131,8.13,-0.12,-0.29,0.74
8183,8.18,0.07,-0.5,0.86
8236,8.24,-0.28,-0.26,0.82
8289,8.29,-0.01,-0.45,0.72
8342,8.34,-0.14,-0.21,0.88
8395,8.4,-0.14,-0.29,0.72
8448,8.45,0.08,-0.23,0.93
8500,8.5,-0.43,-0.26,0.56
8553,8.55,0.32,-0.51,1.06
8605,8.61,-0.29,-0.25,0.71
8658,8.66,-0.16,-0.23,0.76
8711,8.71,-0.24,-0.2,0.78
8764,8.76,0.12,-0.34,0.85
8816,8.82,0.11,-0.32,0.89
8868,8.87,0.29,-0.5,0.94
8920,8.92,0.08,-0.38,0.95
8972,8.97,-0.26,-0.22,0.74
9025,9.03,-0.46,-0.21,0.59
9078,9.08,-0.39,-0.22,0.69
9132,9.13,-0.28,-0.25,0.8
9184,9.18,0.09,-0.31,0.91
9236,9.24,0.12,-0.42,0.92
9288,9.29,0.13,-0.45,0.89
9340,9.34,0.42,-0.26,1.13
9393,9.39,-0.11,-0.12,0.71
9445,9.45,-0.37,-0.32,0.7
9498,9.5,-0.46,-0.28,0.61
9551,9.55,-0.32,-0.04,0.61
9605,9.61,-0.52,-0.27,0.69
9658,9.66,-0.4,-0.21,0.75
9710,9.71,-0.4,-0.08,0.54
9763,9.76,-0.42,-0.25,0.79
9817,9.82,-0.5,-0.27,0.77
9870,9.87,-0.41,-0.26,0.79
9923,9.92,-0.44,-0.2,0.7
9975,9.98,-0.32,-0.2,0.55
10029,10.03,-0.16,-0.23,0.79
10083,10.08,0.11,-0.25,0.85
10136,10.14,0.55,-0.39,1.13
10189,10.19,-0.42,-0.2,0.82
10243,10.24,-0.37,-0.2,0.83
10297,10.3,-0.18,-0.33,0.87
10351,10.35,0.46,-0.38,1.01
10404,10.4,0.06,-0.5,0.88
10458,10.46,-0.03,-0.28,0.74
10511,10.51,-0.38,-0.2,0.86
10565,10.57,-0.29,-0.25,0.77
10619,10.62,-0.15,-0.16,0.63
10674,10.67,-0.3,-0.19,0.89
10728,10.73,0.45,-0.34,1.01
10780,10.78,-0.19,-0.5,0.66
10834,10.83,-0.34,-0.18,0.62
10889,10.89,-0.18,-0.21,0.78
10943,10.94,0.08,-0.69,1.04
10996,11,0.41,-0.18,0.9
11048,11.05,-0.31,-0.52,0.59
11103,11.1,-0.29,-0.12,0.96
11157,11.16,0.61,-0.29,1.08
11210,11.21,-0.39,-0.27,0.53
11265,11.27,-0.11,-0.26,0.89
11318,11.32,-0.07,-0.71,0.89
11372,11.37,-0.23,-0.06,0.9
11426,11.43,-0.29,0,0.5
11480,11.48,0.59,-0.38,0.97
11533,11.53,-0.52,-0.2,0.45
