Time,Xa,Ya,Za
0.011,0.04,-0.0,0.58
0.013,-0.16,-0.68,1.54
0.018,-0.16,-0.68,1.54
0.026,-0.26,0.73,1.24
0.034,-0.25,0.43,0.96
0.043,-0.25,0.43,0.96
0.051,-0.07,-0.16,1.13
0.059,-0.16,0.12,1.22
0.067,-0.08,0.26,1.19
0.075,-0.08,0.26,1.19
0.083,0.12,-0.08,0.71
0.092,0.3,0.14,0.3
0.1,0.2,0.33,0.5
0.108,0.01,0.0,0.8
0.116,0.01,0.0,0.8
0.124,0.0,-0.83,1.51
0.133,0.38,0.21,0.29
0.141,0.29,0.44,0.51
0.149,0.45,-0.36,0.64
0.157,0.45,-0.36,0.64
0.165,0.21,-0.0,0.73
0.174,0.24,0.42,0.44
0.182,0.39,0.04,0.37
0.19,0.08,0.16,0.54
0.198,0.08,0.16,0.54
0.206,-0.16,0.25,0.83
0.215,-0.17,0.11,1.23
0.223,-0.18,0.08,1.43
0.231,-0.18,0.08,1.43
0.24,0.1,0.09,0.82
0.248,0.23,0.37,0.29
0.256,0.17,-1.21,1.03
0.265,0.01,0.01,0.98
0.273,0.01,0.01,0.98
0.281,-0.13,0.51,0.71
0.289,0.1,-0.04,0.71
0.297,-0.1,-0.04,0.96
0.306,-0.25,0.37,1.2
0.314,-0.25,0.37,1.2
0.322,-0.18,0.08,1.32
0.331,0.13,-0.12,1.21
0.339,0.32,0.18,0.54
0.348,0.2,0.23,0.36
0.356,0.2,0.23,0.36
0.364,-0.01,0.04,0.61
0.372,-0.05,0.14,1.1
0.38,0.05,0.79,1.3
0.389,0.19,-0.65,0.67
0.397,0.19,-0.65,0.67
0.405,0.36,0.78,0.42
0.413,0.35,0.37,0.4
0.421,0.11,-0.05,0.59
0.43,-0.1,0.31,0.75
0.438,-0.1,0.31,0.75
0.446,-0.04,0.26,0.99
0.455,-0.13,-0.02,1.28
0.463,-0.21,0.16,1.3
0.472,0.07,0.16,0.83
0.48,0.07,0.16,0.83
0.488,0.28,0.0,0.45
0.496,0.19,0.21,0.54
0.504,-0.33,1.43,1.08
0.513,-0.33,1.43,1.08
0.521,-0.31,0.51,1.15
0.529,-0.2,-0.21,1.39
0.538,-0.18,0.32,1.42
0.546,-0.08,0.26,1.23
0.555,0.18,-0.17,0.97
0.563,0.18,-0.17,0.97
0.571,0.27,-0.0,0.71
0.579,0.27,0.35,0.46
0.587,0.19,0.12,0.45
0.595,0.19,0.12,0.45
0.604,0.05,0.06,0.74
0.612,-0.16,0.19,1.27
0.62,-0.21,0.7,1.36
0.628,0.12,-0.64,1.15
0.637,0.12,-0.64,1.15
0.646,0.21,0.43,0.56
0.654,0.3,0.38,0.68
0.662,0.24,-0.07,0.5
0.67,0.07,0.21,0.64
0.678,0.07,0.21,0.64
0.687,0.16,0.47,0.62
0.695,0.1,0.02,0.62
0.703,-0.15,0.04,0.88
0.711,-0.15,0.2,1.41
0.719,-0.15,0.2,1.41
0.728,-0.08,0.09,1.35
0.736,0.08,-0.03,0.79
0.744,0.13,0.27,0.41
0.752,0.18,-0.71,0.72
0.76,0.18,-0.71,0.72
0.77,-0.11,-0.07,1.24
0.778,-0.27,0.63,1.27
0.786,-0.08,-0.27,0.98
0.794,0.08,-0.08,1.03
0.802,0.08,-0.08,1.03
0.812,0.07,0.36,0.75
0.819,0.27,0.02,0.5
0.827,0.3,0.04,0.4
0.835,0.12,0.39,0.53
0.843,0.12,0.39,0.53
0.851,-0.04,0.14,0.87
0.86,-0.25,0.02,1.24
0.869,0.03,0.1,1.3
0.877,0.03,0.1,1.3
0.885,0.2,0.07,0.47
0.893,0.45,-1.19,0.62
0.902,0.12,0.05,0.66
0.91,0.03,0.56,0.65
0.918,0.03,0.56,0.65
0.926,0.15,-0.07,0.65
0.934,-0.04,-0.05,0.82
0.943,-0.24,0.41,1.16
0.951,-0.13,0.07,1.48
0.959,-0.13,0.07,1.48
0.967,0.09,-0.05,0.98
0.976,0.15,0.19,0.41
0.985,0.19,0.27,0.42
0.992,0.26,-0.81,0.9
1.001,0.26,-0.81,0.9
1.009,-0.07,-0.31,1.25
1.017,-0.29,0.59,1.17
1.027,-0.13,-0.32,1.07
1.035,0.02,-0.09,1.25
1.043,0.02,-0.09,1.25
1.052,-0.09,0.43,1.28
1.06,0.09,0.01,1.02
1.069,0.22,-0.21,0.68
1.077,0.32,0.39,0.34
1.086,0.12,0.21,0.57
1.094,0.12,0.21,0.57
1.102,-0.04,-0.04,0.96
1.111,-0.12,0.14,1.41
1.12,-0.06,0.13,1.32
1.128,0.0,-0.07,0.77
1.136,0.0,-0.07,0.77
1.145,0.1,0.99,0.43
1.154,-0.07,-0.43,0.91
1.162,-0.25,0.03,1.24
1.17,-0.34,0.65,1.07
1.179,-0.24,0.07,1.27
1.187,-0.24,0.07,1.27
1.196,-0.16,-0.14,1.26
1.205,0.02,0.2,1.29
1.213,0.07,0.02,0.89
1.221,0.21,-0.04,0.43
1.229,0.21,-0.04,0.43
1.239,0.12,0.25,0.59
1.247,-0.02,0.21,0.84
1.255,-0.08,0.59,1.3
1.263,-0.01,-0.38,1.11
1.272,-0.01,-0.38,1.11
1.281,0.18,0.7,0.66
1.29,0.37,-0.09,0.61
1.298,0.29,-0.27,0.72
1.306,0.22,0.39,0.49
1.314,0.14,0.36,0.57
1.323,0.14,0.36,0.57
1.332,0.07,0.02,0.66
1.34,-0.1,0.12,0.98
1.348,-0.21,0.14,1.33
1.356,0.0,0.02,1.3
1.364,0.0,0.02,1.3
1.374,0.09,-0.01,0.79
1.382,0.0,1.44,0.39
1.39,0.11,-0.15,0.71
1.398,-0.09,-0.29,1.0
1.408,-0.09,-0.29,1.0
1.416,-0.11,0.46,0.93
1.425,-0.12,0.22,0.89
1.433,-0.09,-0.15,1.19
1.441,-0.09,0.22,1.34
1.451,-0.18,0.24,1.17
1.459,-0.18,0.24,1.17
1.467,0.21,-0.13,0.84
1.475,0.3,0.15,0.41
1.484,0.12,0.27,0.55
1.492,0.02,0.06,0.79
1.501,0.02,0.06,0.79
1.509,-0.03,0.03,1.33
1.517,0.26,0.39,0.95
1.525,0.37,-0.79,0.63
1.534,0.25,-0.02,0.46
1.543,0.25,-0.02,0.46
1.551,0.1,0.69,0.56
1.559,0.2,-0.09,0.49
1.568,-0.03,-0.02,0.75
1.576,-0.19,0.36,1.1
1.586,-0.21,0.12,1.23
1.594,-0.21,0.12,1.23
1.602,-0.01,-0.06,1.26
1.611,0.18,0.16,0.55
1.619,0.34,0.29,0.34
1.628,0.26,-0.96,0.7
1.636,0.26,-0.96,0.7
1.644,-0.23,-0.07,1.13
1.653,-0.25,0.65,1.22
1.661,-0.1,-0.23,0.98
1.671,-0.07,-0.16,1.34
1.679,-0.04,0.41,1.0
1.687,-0.04,0.41,1.0
1.696,0.16,-0.05,0.8
1.704,0.2,-0.15,0.48
1.713,0.26,0.42,0.43
1.722,-0.03,0.18,0.61
1.73,-0.03,0.18,0.61
1.738,-0.17,-0.04,1.07
1.747,-0.12,0.22,1.43
1.756,0.25,0.2,0.61
1.764,0.43,-1.07,0.47
1.772,0.19,-0.29,0.47
1.781,0.19,-0.29,0.47
1.789,0.17,0.64,0.61
1.798,0.25,0.13,0.55
1.806,0.16,-0.02,0.52
1.815,-0.11,0.42,0.64
1.823,-0.11,0.42,0.64
1.831,-0.11,0.15,1.09
1.84,-0.19,0.0,1.38
1.849,-0.03,0.17,1.1
1.857,0.14,0.09,0.75
1.865,0.14,0.09,0.75
1.873,0.44,-0.68,0.57
1.883,0.19,-0.59,0.7
1.891,-0.07,0.68,0.74
1.899,-0.02,-0.18,0.87
1.908,-0.18,-0.22,1.14
1.916,-0.18,-0.22,1.14
1.926,-0.29,0.43,1.23
1.934,-0.22,0.13,1.34
1.942,-0.05,-0.07,1.22
1.951,0.09,0.09,0.82
1.959,0.09,0.09,0.82
1.968,0.21,0.25,0.34
1.976,0.18,0.12,0.35
1.984,0.02,0.14,0.85
1.992,-0.13,0.2,1.05
2.001,-0.13,0.2,1.05
2.01,-0.1,0.06,1.25
2.018,0.26,1.34,0.47
2.026,0.35,-0.48,0.42
2.035,0.07,-0.25,0.72
2.043,-0.14,0.55,0.8
2.052,-0.14,0.55,0.8
2.061,-0.0,0.16,0.83
2.069,-0.08,-0.17,1.02
2.077,-0.17,0.28,1.4
2.086,-0.15,0.14,1.32
2.095,-0.15,0.14,1.32
2.103,0.08,-0.15,1.03
2.112,0.24,0.18,0.46
2.12,0.1,0.32,0.54
2.128,-0.29,0.52,1.11
2.137,-0.29,0.52,1.11
2.145,-0.16,-0.18,1.31
2.154,0.02,0.63,0.71
2.162,0.25,-0.11,0.9
2.17,0.18,-0.25,1.0
2.18,0.12,0.24,0.77
2.188,0.12,0.24,0.77
2.196,0.27,0.16,0.55
2.204,0.3,0.04,0.38
2.212,0.05,0.29,0.63
2.221,-0.03,0.15,0.95
2.23,-0.03,0.15,0.95
2.238,-0.12,-0.01,1.55
2.246,-0.07,0.12,1.15
2.255,0.15,1.56,0.45
2.264,0.27,-0.29,0.55
2.272,0.27,-0.29,0.55
2.28,0.12,-0.29,0.87
2.289,-0.11,0.46,0.78
2.297,-0.07,0.25,0.7
2.306,0.14,-0.05,0.79
2.315,-0.17,0.23,1.05
2.323,-0.17,0.23,1.05
2.331,-0.27,0.14,1.37
2.339,-0.09,0.0,1.27
2.349,0.23,0.12,0.59
2.357,0.21,0.32,0.27
2.365,0.21,0.32,0.27
2.373,-0.21,0.46,0.75
2.382,-0.41,-0.14,1.62
2.391,-0.2,0.98,1.09
2.399,-0.21,0.1,1.05
2.408,-0.11,-0.21,1.28
2.416,-0.11,-0.21,1.28
2.425,-0.15,0.23,1.36
2.434,-0.06,0.18,1.21
2.442,0.15,-0.19,0.83
2.45,0.27,0.16,0.5
2.459,0.27,0.16,0.5
2.467,0.22,0.28,0.55
2.476,-0.07,0.01,0.8
2.484,-0.14,0.05,1.42
2.492,-0.09,0.2,1.24
2.501,-0.09,0.2,1.24
2.509,0.12,-1.0,0.88
2.518,0.39,0.09,0.43
2.526,0.09,0.55,0.6
2.535,0.04,-0.27,0.89
2.543,-0.24,0.07,1.18
2.551,-0.24,0.07,1.18
2.56,-0.29,0.38,1.16
2.569,-0.18,0.1,1.12
2.577,0.01,-0.02,1.27
2.585,0.14,0.18,0.71
2.594,0.14,0.18,0.71
2.603,0.2,0.17,0.35
2.611,0.2,0.15,0.54
2.619,0.04,0.18,0.78
2.627,-0.05,0.27,1.08
2.635,-0.05,0.27,1.08
2.644,0.0,-0.63,1.14
2.653,0.21,-0.21,0.91
