Time,Xa,Ya,Za
1.584,0.12,0.01,0.82
1.592,-0.04,0.34,1.2
1.601,-0.04,0.34,1.2
1.609,-0.27,0.38,1.2
1.617,-0.37,0.03,1.29
1.627,-0.32,0.14,1.41
1.635,-0.27,0.17,1.4
1.643,-0.44,0.07,1.32
1.651,-0.44,0.07,1.32
1.66,-0.37,0.14,1.46
1.669,-0.36,0.2,1.55
1.677,-0.49,0.71,1.52
1.686,-0.44,-0.06,1.57
1.694,-0.36,0.41,1.14
1.702,-0.36,0.41,1.14
1.712,0.04,0.23,0.87
1.72,0.26,-0.22,0.63
1.728,0.16,0.16,0.43
1.736,0.33,0.21,0.41
1.744,0.33,0.21,0.41
1.754,0.39,-0.03,0.47
1.762,0.4,0.04,0.45
1.77,0.23,0.15,0.46
1.778,0.32,1.0,0.73
1.786,0.32,1.0,0.73
1.795,0.52,0.34,0.56
1.804,0.24,-0.25,0.7
1.812,0.14,0.18,1.04
1.82,-0.02,0.27,1.21
1.828,-0.02,0.27,1.21
1.838,-0.2,0.01,1.36
1.846,-0.3,0.2,1.39
1.854,-0.18,0.28,1.38
1.862,-0.3,0.17,1.39
1.871,-0.3,0.17,1.39
1.88,-0.21,0.54,1.7
1.888,-0.36,0.16,1.39
1.897,-0.38,0.61,1.21
1.905,-0.05,0.04,0.73
1.913,0.33,-0.17,0.66
1.923,0.33,-0.17,0.66
1.931,0.37,0.2,0.48
1.939,0.45,0.14,0.36
1.947,0.55,0.01,0.32
1.955,0.45,0.2,0.32
1.964,0.45,0.2,0.32
1.973,0.38,0.32,0.23
1.981,0.38,0.13,0.27
1.989,0.44,0.05,0.38
1.997,0.27,1.17,0.61
2.006,0.27,1.17,0.61
2.014,0.36,-0.04,0.62
2.023,0.29,-0.13,0.71
2.031,0.2,0.42,1.12
2.039,-0.16,0.2,1.18
2.048,-0.16,0.2,1.18
2.057,-0.22,-0.05,1.23
2.065,-0.15,0.17,1.34
2.073,-0.15,0.18,1.32
2.082,-0.21,0.03,1.34
2.091,-0.18,0.13,1.55
2.099,-0.18,0.13,1.55
2.108,-0.24,0.14,1.37
2.116,-0.39,0.53,1.28
2.124,-0.38,0.2,0.96
2.132,-0.0,-0.12,0.77
2.142,-0.0,-0.12,0.77
2.15,0.05,0.16,0.72
2.158,0.13,0.07,0.51
2.167,0.35,-0.1,0.49
2.176,0.35,0.07,0.5
2.184,0.23,0.09,0.41
2.192,0.23,0.09,0.41
2.2,0.26,0.32,0.41
2.208,0.29,-0.49,0.86
2.217,0.18,0.02,0.86
2.226,-0.07,0.46,0.94
2.234,-0.07,0.46,0.94
2.243,-0.2,0.13,1.26
