Time,Xa,Ya,Za
0.011,0.07,0.36,0.84
0.013,0.07,0.36,0.84
0.017,0.07,0.36,0.84
0.025,0.06,0.27,0.84
0.033,-0.04,0.23,0.82
0.041,0.06,0.34,0.84
0.05,0.06,0.34,0.84
0.058,0.11,0.36,0.85
0.065,-0.01,0.26,0.82
0.073,-0.02,0.25,0.82
0.081,-0.02,0.25,0.82
0.09,0.1,0.32,0.85
0.098,0.05,0.33,0.84
0.106,-0.04,0.26,0.82
0.114,0.05,0.27,0.85
0.122,0.05,0.27,0.85
0.131,0.08,0.3,0.86
0.139,-0.01,0.32,0.82
0.147,0.07,0.37,0.82
0.155,0.07,0.37,0.82
0.163,-0.29,0.39,1.2
0.172,0.02,0.09,1.02
0.18,0.02,0.31,0.94
0.188,-0.05,0.42,0.87
0.196,-0.05,0.42,0.87
0.204,0.04,0.25,0.89
0.212,0.02,0.22,0.87
0.221,-0.02,0.31,0.82
0.229,0.08,0.36,0.84
0.237,0.08,0.36,0.84
0.245,0.07,0.26,0.85
0.253,-0.03,0.26,0.82
0.262,0.05,0.34,0.83
0.27,0.11,0.33,0.84
0.278,0.11,0.33,0.84
0.286,0.01,0.26,0.81
0.294,-0.03,0.27,0.81
0.303,0.07,0.34,0.84
0.311,0.07,0.34,0.84
0.319,0.06,0.31,0.85
0.327,-0.02,0.27,0.82
0.335,0.04,0.3,0.84
0.344,-0.18,0.87,1.07
0.353,-0.18,0.87,1.07
0.361,-0.52,0.73,1.19
0.369,-0.14,0.25,1.0
0.377,0.17,0.34,1.03
0.386,-0.09,0.39,0.91
0.394,-0.09,0.39,0.91
0.402,-0.17,0.24,0.84
0.41,0.17,0.29,0.93
0.418,0.11,0.33,0.89
0.427,-0.18,0.31,0.77
0.435,-0.18,0.31,0.77
0.444,0.05,0.29,0.86
0.452,0.23,0.29,0.91
0.46,-0.07,0.28,0.81
0.468,-0.11,0.27,0.79
0.477,-0.11,0.27,0.79
0.485,0.19,0.3,0.88
0.493,0.12,0.32,0.87
0.501,-0.12,0.28,0.79
0.509,0.04,0.26,0.84
0.518,0.04,0.26,0.84
0.526,0.18,0.29,0.88
0.534,-0.03,0.29,0.82
0.542,-0.06,0.32,0.81
0.55,-0.06,0.32,0.81
0.559,0.14,0.32,0.87
0.567,-0.21,1.16,1.1
0.575,-0.6,0.9,1.23
0.584,-0.14,0.25,1.04
0.592,-0.14,0.25,1.04
0.601,0.17,0.38,1.03
0.609,-0.04,0.36,0.93
0.617,-0.24,0.25,0.85
0.625,0.1,0.25,0.92
0.633,0.1,0.25,0.92
0.642,0.21,0.33,0.94
0.65,-0.15,0.31,0.79
0.658,-0.09,0.24,0.8
0.666,0.24,0.31,0.92
0.674,0.24,0.31,0.92
0.683,0.05,0.33,0.85
0.691,-0.17,0.29,0.77
0.699,0.09,0.3,0.85
0.707,0.2,0.34,0.88
0.715,0.2,0.34,0.88
0.723,-0.07,0.32,0.8
0.732,-0.05,0.3,0.8
0.74,0.16,0.32,0.88
0.748,0.16,0.32,0.88
0.756,0.06,0.29,0.84
0.764,-0.35,1.34,1.35
0.773,-0.24,0.54,0.87
0.782,-0.04,0.14,0.99
0.79,-0.04,0.14,0.99
0.798,0.03,0.43,0.88
0.806,-0.05,0.32,0.85
