Time,Xa,Ya,Za
0.011,0.09,0.05,0.48
0.013,0.45,0.14,0.39
0.017,0.45,0.14,0.39
0.025,0.35,0.65,0.94
0.033,-0.34,-0.19,1.41
0.041,-0.34,-0.19,1.41
0.05,-0.55,0.34,0.74
0.058,0.12,0.35,0.39
0.066,0.12,-0.07,0.84
0.074,-0.18,0.12,1.21
0.082,-0.18,0.12,1.21
0.091,-0.09,0.31,1.31
0.099,-0.03,0.02,0.83
0.107,0.22,-0.07,0.37
0.115,0.22,-0.07,0.37
0.123,0.5,0.13,0.25
0.132,-0.03,1.14,0.65
0.14,-0.39,0.4,1.2
0.148,-0.09,-0.07,0.8
0.157,-0.09,-0.07,0.8
0.165,0.38,-0.01,0.41
0.174,0.01,0.21,0.58
0.182,0.02,0.12,1.37
0.19,-0.18,0.14,1.5
0.198,-0.18,0.14,1.5
0.206,-0.52,-0.43,0.89
0.216,0.17,-0.23,0.64
0.224,0.22,0.64,0.89
0.232,-0.52,0.34,1.26
0.24,-0.52,0.34,1.26
0.248,-0.23,-0.16,0.81
0.257,0.35,0.09,0.47
0.265,0.27,0.24,0.66
0.273,-0.14,0.12,1.23
0.281,-0.14,0.12,1.23
0.29,-0.38,0.17,1.34
0.299,-0.21,0.21,1.14
0.307,0.29,0.18,0.37
0.315,0.3,-0.29,0.41
0.323,0.3,-0.29,0.41
0.331,0.07,0.12,1.22
0.339,-0.42,0.37,1.21
0.348,-0.18,0.05,0.5
0.356,0.41,-0.11,0.39
0.364,0.41,-0.11,0.39
0.373,0.43,0.13,0.85
0.38,-0.18,0.14,1.39
0.39,-0.48,0.24,1.39
0.398,-0.12,-0.27,1.15
0.406,-0.12,-0.27,1.15
0.414,0.02,-0.05,0.59
0.423,0.26,0.43,0.7
0.431,0.01,-0.06,1.32
0.44,-0.2,0.02,1.29
0.448,-0.2,0.02,1.29
0.456,0.05,0.28,0.63
0.464,0.3,0.06,0.34
0.473,0.37,-0.11,0.71
0.481,0.22,0.82,1.19
0.489,0.22,0.82,1.19
0.497,-0.33,-0.19,1.26
0.505,0.08,0.16,0.51
0.514,0.34,0.38,0.56
0.522,-0.3,0.09,1.23
0.53,-0.3,0.09,1.23
0.538,-0.45,-0.02,1.29
0.547,0.1,0.21,0.68
0.556,0.54,0.06,0.35
0.564,0.11,-0.04,0.54
0.572,0.11,-0.04,0.54
0.58,0.12,0.15,1.1
0.588,-0.75,1.09,1.14
0.596,-0.32,0.11,0.65
0.605,0.59,-0.42,0.42
0.613,0.59,-0.42,0.42
0.621,0.24,0.23,0.78
0.629,-0.34,0.52,1.25
0.638,-0.3,0.11,1.16
0.647,-0.3,0.11,1.16
0.655,0.02,-0.01,0.54
0.663,0.39,0.16,0.36
0.671,0.25,0.13,0.54
0.679,0.21,-0.09,1.29
0.688,0.21,-0.09,1.29
0.696,-0.47,0.09,1.42
0.704,0.07,0.35,0.9
0.712,0.36,0.16,0.37
0.72,0.14,-0.12,0.8
0.729,0.14,-0.12,0.8
0.737,-0.35,0.26,1.3
0.746,-0.23,0.35,1.29
0.754,0.0,-0.09,0.9
0.762,0.79,0.05,0.39
0.771,0.79,0.05,0.39
0.779,-0.07,0.13,0.92
0.787,-0.38,0.27,1.26
0.795,0.11,0.09,0.78
0.803,0.34,0.02,0.35
0.812,0.34,0.02,0.35
0.82,0.14,0.09,0.94
0.828,-0.21,0.26,1.43
0.836,-0.33,0.2,1.31
0.844,-0.11,-0.02,0.78
0.854,-0.11,-0.02,0.78
0.862,0.46,-0.59,0.48
0.87,0.46,-0.18,0.59
0.878,-0.33,0.75,1.14
0.886,-0.27,0.01,1.11
0.894,-0.27,0.01,1.11
0.903,0.18,-0.24,0.58
0.912,0.38,0.23,0.59
0.92,0.07,0.44,0.96
0.928,-0.23,0.14,1.44
0.936,-0.23,0.14,1.44
0.945,-0.39,0.12,1.14
