Time,Xa,Ya,Za
0.011,0.11,-0.1,0.99
0.013,0.11,-0.1,0.99
0.018,0.48,0.02,0.31
0.026,0.48,0.02,0.31
0.033,0.13,-0.61,0.79
0.041,-0.48,-0.18,1.23
0.05,0.37,0.1,0.53
0.058,0.37,0.1,0.53
0.066,-0.13,0.36,1.18
0.074,-0.28,-0.09,1.12
0.082,0.39,-0.03,0.32
0.091,0.15,0.25,1.19
0.099,0.15,0.25,1.19
0.107,-0.1,0.08,1.37
0.115,0.24,0.18,0.78
0.123,-0.03,-0.07,0.81
0.132,-0.05,0.23,1.12
0.14,-0.05,0.23,1.12
0.148,0.39,0.02,0.5
0.156,-0.19,0.29,1.18
0.164,-0.05,0.1,1.01
0.174,0.58,0.01,0.31
0.182,0.58,0.01,0.31
0.19,0.02,0.23,1.08
0.198,-0.54,0.92,1.24
0.206,0.62,-0.03,0.51
0.215,0.62,-0.03,0.51
0.223,-0.25,0.08,1.42
0.231,0.06,-0.02,0.54
0.239,0.19,0.24,0.64
0.247,-0.34,0.25,1.51
0.256,-0.34,0.25,1.51
0.264,-0.04,-0.08,0.67
0.273,0.26,0.12,0.31
0.281,0.16,0.12,1.27
0.289,-0.26,-0.18,1.48
0.297,-0.26,-0.18,1.48
0.306,0.36,0.07,0.21
0.314,-0.01,0.51,1.1
0.322,-0.13,0.14,0.89
0.331,0.41,-0.06,0.3
0.339,0.41,-0.06,0.3
0.348,-0.3,0.32,1.15
0.356,-0.2,0.16,1.18
0.364,0.25,-0.1,0.37
0.372,0.16,0.34,0.25
0.38,0.16,0.34,0.25
0.389,-0.2,-0.26,1.26
0.397,0.45,-0.07,0.4
0.406,-0.31,0.52,1.18
0.414,0.01,-0.15,1.1
0.422,0.01,-0.15,1.1
0.431,0.67,-0.18,0.43
0.439,-0.21,0.37,1.12
0.447,-0.46,0.3,1.11
0.455,0.43,0.16,0.47
0.463,0.43,0.16,0.47
0.472,-0.24,0.7,1.25
0.48,0.2,-0.2,0.67
0.489,0.37,-0.05,0.58
0.497,-0.38,0.34,1.22
0.505,-0.38,0.34,1.22
0.514,0.1,-0.0,0.56
0.522,0.39,-0.11,0.66
0.53,-0.21,0.2,1.45
0.538,-0.39,0.2,1.0
0.547,-0.39,0.2,1.0
0.556,0.62,0.22,0.66
0.564,-0.03,-0.19,1.19
0.572,-0.01,0.27,1.09
0.58,0.59,0.16,0.3
0.588,0.59,0.16,0.3
0.596,-0.05,0.13,1.24
0.605,-0.07,0.05,1.07
0.613,0.45,-0.02,0.43
0.621,0.06,0.14,0.97
0.629,0.06,0.14,0.97
0.637,-0.54,1.02,1.14
