Time,Xa,Ya,Za
0.011,0.02,0.3,0.84
0.013,0.02,0.3,0.84
0.017,0.02,0.3,0.84
0.025,0.02,0.32,0.82
0.033,0.15,0.29,0.87
0.041,0.04,0.28,0.84
0.05,0.04,0.28,0.84
0.057,-0.04,0.31,0.82
0.065,0.18,0.32,0.87
0.073,0.09,0.29,0.86
0.081,-0.09,0.29,0.78
0.09,-0.09,0.29,0.78
0.098,0.1,0.32,0.86
0.106,0.48,0.51,0.54
0.114,-0.11,0.61,0.52
0.122,-0.11,0.61,0.52
0.131,0.17,0.4,0.88
0.139,0.2,0.24,0.92
0.147,-0.11,0.27,0.84
0.155,-0.03,0.36,0.86
0.163,-0.03,0.36,0.86
0.172,0.16,0.25,0.88
0.18,0.13,0.23,0.89
0.188,-0.13,0.31,0.78
0.196,0.09,0.31,0.84
0.204,0.09,0.31,0.84
0.212,0.22,0.29,0.89
0.221,-0.09,0.27,0.8
0.229,-0.0,0.3,0.83
0.238,0.25,0.32,0.9
0.246,0.25,0.32,0.9
0.253,-0.0,0.27,0.83
0.263,-0.09,0.29,0.78
0.271,0.21,0.33,0.89
0.279,0.21,0.33,0.89
0.287,0.19,0.54,0.71
0.295,-0.24,0.57,0.69
0.304,0.19,0.15,0.95
0.312,0.14,0.21,0.93
0.32,0.14,0.21,0.93
0.328,-0.08,0.43,0.88
0.336,-0.09,0.29,0.82
0.345,0.2,0.19,0.89
0.353,0.1,0.3,0.87
0.361,0.1,0.3,0.87
0.369,-0.15,0.34,0.75
0.377,0.16,0.25,0.87
0.386,0.15,0.27,0.87
0.394,-0.11,0.35,0.78
0.402,-0.11,0.35,0.78
0.41,0.09,0.33,0.85
0.418,0.14,0.27,0.87
0.427,-0.03,0.29,0.81
0.435,-0.03,0.29,0.81
0.443,0.04,0.33,0.84
0.451,0.13,0.31,0.87
0.459,-0.15,1.23,0.95
0.467,-0.2,0.64,0.95
0.477,-0.2,0.64,0.95
0.485,0.01,0.27,0.86
0.493,0.12,0.36,0.85
0.501,0.05,0.44,0.8
0.509,-0.04,0.2,0.77
0.518,-0.04,0.2,0.77
0.526,0.19,0.24,0.88
0.534,0.05,0.35,0.84
0.542,0.0,0.28,0.8
0.55,0.12,0.24,0.85
0.559,0.12,0.24,0.85
0.567,0.04,0.26,0.83
0.575,0.06,0.32,0.84
0.583,0.06,0.31,0.85
0.591,0.06,0.31,0.85
0.6,0.02,0.26,0.82
0.608,0.11,0.32,0.85
0.616,0.07,0.31,0.85
0.624,-0.03,0.27,0.8
0.632,-0.03,0.27,0.8
0.641,-0.06,0.07,1.33
0.649,-0.14,0.21,1.19
0.657,-0.08,0.19,0.75
0.665,0.25,0.39,0.86
0.673,0.25,0.39,0.86
0.681,0.11,0.38,0.8
0.69,-0.04,0.17,0.75
0.698,0.11,0.25,0.84
0.706,0.13,0.32,0.83
0.714,0.13,0.32,0.83
0.722,0.08,0.32,0.85
0.731,-0.04,0.21,0.8
0.739,0.14,0.29,0.84
0.747,0.14,0.29,0.84
0.755,0.14,0.34,0.88
0.763,-0.1,0.29,0.8
0.772,0.09,0.27,0.85
0.78,0.21,0.32,0.91
0.788,0.21,0.32,0.91
0.796,-0.06,0.29,0.8
0.804,-0.01,0.29,0.82
0.814,0.18,-0.51,0.84
0.822,-0.2,-0.15,1.04
0.83,-0.2,-0.15,1.04
0.838,-0.09,0.23,0.75
0.846,0.3,0.49,0.86
0.855,0.12,0.16,0.77
0.863,-0.05,0.21,0.78
0.871,-0.05,0.21,0.78
0.88,0.04,0.37,0.8
0.888,0.25,0.36,0.89
0.897,-0.04,0.26,0.8
0.905,-0.06,0.28,0.81
0.913,-0.06,0.28,0.81
0.921,0.25,0.4,0.91
0.929,0.02,0.3,0.81
0.937,-0.09,0.25,0.8
0.946,-0.09,0.25,0.8
0.954,0.16,0.32,0.88
0.962,0.08,0.31,0.84
0.97,-0.06,0.26,0.8
0.978,0.12,0.27,0.87
0.987,0.12,0.27,0.87
