Time,Xa,Ya,Za
0.011,0.32,0.49,0.45
0.013,0.32,0.49,0.45
0.017,0.32,0.49,0.45
0.025,-0.01,0.05,0.8
0.033,-0.12,0.33,0.94
0.041,0.14,-0.08,0.82
0.05,0.14,-0.08,0.82
0.058,-0.22,0.35,0.77
0.066,0.12,0.27,0.94
0.074,0.06,-0.04,0.8
0.082,-0.11,0.42,0.93
0.091,-0.11,0.42,0.93
0.099,0.05,-0.05,0.8
0.107,0.04,0.25,0.86
0.115,0.11,0.17,0.84
0.123,0.11,0.17,0.84
0.132,-0.03,0.09,0.82
0.14,0.09,0.17,0.88
0.148,0.02,0.21,0.87
0.156,0.05,0.12,0.82
0.164,0.05,0.12,0.82
0.173,-0.11,0.43,1.18
0.181,-0.14,0.16,1.01
0.189,-0.04,0.27,0.68
0.197,0.13,0.24,0.95
0.205,0.13,0.24,0.95
0.214,0.06,-0.04,0.83
0.222,-0.16,0.32,0.87
0.23,0.12,0.14,0.91
0.238,0.12,0.14,0.91
0.246,-0.02,0.01,0.77
0.254,-0.11,0.38,0.95
0.263,0.05,-0.02,0.76
0.272,0.07,0.29,0.89
0.28,0.07,0.29,0.89
0.288,0.04,0.14,0.82
0.295,0.01,0.13,0.87
0.304,0.05,0.16,0.82
0.312,0.06,0.17,0.91
0.32,0.06,0.17,0.91
0.328,-0.01,0.08,0.82
0.336,0.07,0.2,0.94
0.345,-0.18,0.48,1.29
0.354,-0.37,0.25,1.23
0.362,-0.37,0.25,1.23
0.37,0.1,-0.01,0.75
0.378,0.07,0.29,0.8
0.387,0.07,0.13,1.02
0.395,-0.14,-0.06,0.8
0.403,-0.14,-0.06,0.8
0.412,0.01,0.35,1.02
0.42,0.22,-0.03,0.78
0.429,-0.12,0.25,0.79
0.437,0.04,0.19,0.87
0.445,0.04,0.19,0.87
0.453,0.06,0.08,0.82
0.461,0.08,0.18,0.91
0.47,-0.1,0.11,0.79
0.478,-0.1,0.11,0.79
0.486,0.15,0.14,0.89
0.494,0.0,0.19,0.88
0.502,0.04,-0.05,0.79
0.51,0.08,0.1,0.85
0.519,0.08,0.1,0.85
0.527,0.18,0.09,0.94
0.535,-0.02,0.2,0.75
0.543,-0.03,0.34,1.0
0.551,0.12,-0.07,0.84
0.56,0.12,-0.07,0.84
0.568,-0.1,0.23,0.91
0.577,0.02,0.27,0.98
0.585,-0.02,-0.02,0.71
0.593,-0.06,0.35,0.93
0.602,-0.06,0.35,0.93
0.61,0.08,0.01,0.8
0.618,-0.0,0.2,0.87
0.626,-0.0,0.18,0.86
0.634,0.06,0.15,0.86
0.643,0.06,0.15,0.86
0.651,0.06,0.11,0.85
0.659,0.01,0.2,0.87
0.667,0.17,0.59,0.64
0.675,0.17,0.59,0.64
0.684,-0.24,-0.01,0.86
0.692,0.0,0.01,1.29
0.7,0.21,0.05,0.8
0.708,-0.04,0.37,0.88
0.717,-0.04,0.37,0.88
0.726,0.07,0.03,0.8
0.734,0.02,0.2,0.84
0.742,0.02,0.25,0.96
0.75,-0.12,-0.05,0.74
0.758,-0.12,-0.05,0.74
0.766,0.04,0.32,0.93
0.775,0.07,0.06,0.79
0.783,0.01,0.19,0.87
0.791,-0.05,0.16,0.8
0.799,-0.05,0.16,0.8
0.807,0.12,0.18,0.98
0.816,-0.04,0.09,0.83
0.824,0.01,0.23,0.91
0.832,-0.02,0.15,0.81
0.841,-0.02,0.15,0.81
0.849,0.21,0.43,0.71
0.858,-0.11,0.13,0.75
0.866,-0.07,0.26,1.06
0.874,0.18,-0.0,0.84
0.882,0.18,-0.0,0.84
0.89,-0.14,0.27,0.75
0.899,-0.06,0.26,0.88
0.907,0.07,-0.05,0.83
0.916,-0.03,0.34,0.96
0.924,-0.03,0.34,0.96
0.932,-0.0,0.02,0.8
0.941,0.07,0.18,0.85
0.949,0.09,0.17,0.86
0.957,0.09,0.17,0.86
0.965,-0.03,0.17,0.84
0.973,0.02,0.12,0.85
